time,index,x,y,z
0.020636320114135742,2,0.140647,0.281294,0.937647
0.061570167541503906,4,0.0468823,0.328176,0.937647
0.10470914840698242,6,0.140647,0.234412,0.937647
0.15522027015686035,8,0,0.281294,0.937647
0.19672608375549316,10,0.140647,0.281294,1.03141
0.25097227096557617,12,0.234412,0.328176,0.984529
0.2977721691131592,14,0.187529,0.281294,0.937647
0.3918781280517578,18,0.140647,0.234412,0.890764
0.43441200256347656,20,0.234412,0.187529,0.890764
0.4656350612640381,21,0.187529,0.234412,0.843882
0.48891115188598633,22,0.140647,0.281294,0.750117
0.5085852146148682,23,0.0937646,0.328176,0.703235
0.6334221363067627,25,0.375059,0.375059,0.750117
0.6630401611328125,26,0.515706,0.421941,0.843882
0.7565391063690186,30,0.421941,0.656353,0.656353
0.7860531806945801,31,0.515706,0.703235,0.60947
0.8502531051635742,34,0.468823,0.890764,0.562588
0.8852722644805908,35,0.468823,0.984529,0.468823
0.9517052173614502,38,0.328176,0.890764,0.375059
0.9732873439788818,39,0.421941,0.843882,0.421941
1.0336692333221436,42,0.562588,0.843882,0.375059
1.0532431602478027,43,0.562588,0.843882,0.375059
1.1645393371582031,48,0.515706,0.843882,0.375059
1.1840171813964844,49,0.515706,0.843882,0.328176
1.2601232528686523,52,0.421941,0.890764,0.281294
1.3927581310272217,58,0.375059,0.937647,0.281294
1.4824142456054688,62,0.375059,0.843882,0.234412
1.5058422088623047,63,0.328176,0.890764,0.281294
1.5353903770446777,64,0.421941,0.937647,0.281294
1.6016111373901367,67,0.281294,0.890764,0.234412
1.6328542232513428,68,0.328176,0.890764,0.187529
1.652407169342041,69,0.281294,0.937647,0.187529
1.6719810962677002,70,0.281294,0.937647,0.187529
1.712773323059082,72,0.281294,0.890764,0.281294
1.7873992919921875,75,0.234412,0.937647,0.187529
1.8417792320251465,77,0.281294,0.937647,0.234412
1.862957239151001,78,0.328176,0.890764,0.187529
1.8827991485595703,79,0.375059,0.890764,0.187529
1.9023072719573975,80,0.281294,0.937647,0.234412
1.9745771884918213,83,0.375059,0.937647,0.234412
2.087851047515869,88,0.328176,0.843882,0.187529
2.128638982772827,90,0.421941,0.890764,0.281294
2.170131206512451,92,0.515706,0.797,0.375059
2.2143752574920654,94,0.60947,0.750117,0.234412
2.3180601596832275,98,0.60947,0.60947,0.328176
2.339867115020752,99,0.60947,0.562588,0.281294
2.3922863006591797,101,0.750117,0.515706,0.375059
2.413713216781616,102,0.750117,0.421941,0.375059
2.4877963066101074,105,0.797,0.515706,0.281294
2.507805347442627,106,0.797,0.468823,0.234412
2.5289242267608643,107,0.890764,0.515706,0.375059
2.550565242767334,108,0.843882,0.562588,0.375059
2.600931167602539,110,0.890764,0.375059,0.375059
2.694775104522705,114,0.890764,0.375059,0.281294
2.7162601947784424,115,0.797,0.281294,0.234412
2.763451337814331,117,0.843882,0.234412,0.187529
2.7840540409088135,118,0.890764,0.328176,0.281294
2.829557180404663,119,0.937647,0.187529,0.234412
2.8531131744384766,120,0.937647,0.187529,0.187529
2.8958542346954346,122,0.937647,0.234412,0.187529
3.024681329727173,126,0.890764,0.140647,0.187529
3.0696592330932617,128,0.843882,0.281294,0.281294
3.090733051300049,129,0.797,0.281294,0.328176
3.110659122467041,130,0.937647,0.328176,0.281294
3.1314873695373535,131,0.937647,0.281294,0.234412
3.194563150405884,134,1.07829,0.328176,0.421941
3.358469247817993,141,0.703235,0.328176,0.281294
3.3798630237579346,142,0.750117,0.421941,0.281294
3.401435136795044,143,0.797,0.468823,0.281294
3.4580471515655518,145,1.17206,0.562588,0.421941
3.479426145553589,146,1.21894,0.562588,0.421941
3.518465042114258,148,1.07829,0.562588,0.187529
3.5692191123962402,150,0.750117,0.421941,0.187529
3.5888750553131104,151,0.750117,0.468823,0.234412
3.612168312072754,152,0.890764,0.468823,0.234412
3.6336922645568848,153,0.890764,0.421941,0.234412
