time,index,x,y,z
0.061836957931518555,6,0.328176,0.890764,0.375059
0.08150506019592285,7,0.515706,0.750117,0.375059
0.12447309494018555,9,0.421941,0.797,0.375059
0.16748809814453125,11,0.328176,0.843882,0.187529
0.24370622634887695,14,0.375059,0.843882,0.328176
0.27479124069213867,15,0.421941,0.890764,0.328176
0.40810489654541016,20,0.375059,0.890764,0.328176
0.5051660537719727,24,0.375059,0.843882,0.234412
0.5285842418670654,25,0.375059,0.797,0.281294
0.5500762462615967,26,0.328176,0.797,0.281294
0.5735130310058594,27,0.328176,0.890764,0.281294
0.5949921607971191,28,0.375059,0.843882,0.234412
0.6320509910583496,29,0.375059,0.890764,0.281294
0.6573691368103027,30,0.421941,0.890764,0.234412
0.6785299777984619,31,0.421941,0.843882,0.328176
0.7354850769042969,33,0.375059,0.890764,0.234412
0.7809479236602783,35,0.375059,0.890764,0.234412
0.8429391384124756,37,0.328176,0.984529,0.187529
0.864375114440918,38,0.328176,0.937647,0.187529
0.9034020900726318,39,0.421941,0.984529,0.187529
1.0751500129699707,46,0.187529,0.937647,0.0937646
1.096714973449707,47,0.234412,0.984529,0.140647
1.1611099243164062,49,0.281294,0.937647,0.187529
1.2743542194366455,53,0.281294,0.937647,0.140647
1.2977910041809082,54,0.328176,0.843882,0.0937646
1.343574047088623,56,0.281294,0.937647,0.0468823
1.3738322257995605,57,0.281294,0.937647,0.0937646
1.430469036102295,59,0.234412,0.890764,0.0937646
1.4518489837646484,60,0.234412,0.937647,0.0937646
1.475275993347168,61,0.187529,0.984529,0.0937646
1.5456781387329102,64,0.234412,1.07829,0.234412
1.5768051147460938,65,0.187529,0.750117,0.234412
1.6198320388793945,67,0.187529,0.843882,0.187529
1.6412279605865479,68,0.234412,0.937647,0.140647
1.6647121906280518,69,0.187529,1.03141,0.140647
1.7467031478881836,72,0.140647,0.937647,0.234412
1.7701411247253418,73,0.187529,0.890764,0.234412
1.8228001594543457,75,0.0937646,0.890764,0.328176
1.8462231159210205,76,0.0937646,0.937647,0.328176
1.922375202178955,79,-0.0937646,0.937647,0.281294
2.02958607673645,84,0.281294,0.937647,0.281294
2.055176258087158,85,0.281294,0.890764,0.281294
2.076655149459839,86,0.234412,0.890764,0.375059
2.1117382049560547,87,0.140647,0.890764,0.140647
2.1332321166992188,88,0.234412,0.890764,0.234412
2.1801071166992188,90,0.375059,0.937647,0.281294
2.2131659984588623,91,0.421941,0.890764,0.281294
2.236466884613037,92,0.468823,0.890764,0.281294
2.3654489517211914,97,0.562588,0.703235,0.234412
2.3869969844818115,98,0.468823,0.703235,0.187529
2.4085280895233154,99,0.562588,0.750117,0.281294
2.448096990585327,100,0.515706,0.750117,0.281294
2.5119550228118896,103,0.562588,0.750117,0.281294
2.5763471126556396,105,0.421941,0.843882,0.234412
2.6958861351013184,110,0.421941,0.656353,0.234412
2.750188112258911,112,0.468823,1.03141,0.234412
2.771592855453491,113,0.421941,1.07829,0.234412
2.7954318523406982,114,0.468823,0.984529,0.328176
2.8966410160064697,118,0.562588,0.750117,0.281294
2.918086051940918,119,0.60947,0.656353,0.328176
3.01580810546875,123,0.562588,0.60947,0.328176
3.0390560626983643,124,0.515706,0.562588,0.328176
3.134716272354126,128,0.60947,0.703235,0.281294
3.2795040607452393,134,0.703235,0.703235,0.515706
3.34748911857605,137,0.515706,0.750117,0.375059
3.3688461780548096,138,0.468823,0.797,0.281294
3.4001760482788086,139,0.375059,0.843882,0.281294
3.4215972423553467,140,0.468823,0.843882,0.281294
3.4430840015411377,141,0.375059,0.984529,0.234412
3.464608907699585,142,0.421941,0.937647,0.281294
3.500047206878662,143,0.421941,0.890764,0.234412
3.5231690406799316,144,0.328176,0.890764,0.187529
3.568084955215454,146,0.328176,0.750117,0.187529
3.667623281478882,150,0.375059,0.843882,0.234412
3.724187135696411,152,0.375059,0.890764,0.281294
3.7481091022491455,153,0.421941,0.890764,0.281294
3.8236961364746094,156,0.562588,0.890764,0.234412
3.8903679847717285,159,0.890764,0.843882,0.328176
3.919506072998047,160,0.890764,0.797,0.281294
3.942789077758789,161,0.984529,0.890764,0.187529
4.040484189987183,165,1.03141,0.656353,0.140647
4.061981916427612,166,0.937647,0.328176,0.187529
4.087285995483398,167,1.03141,0.234412,0.234412
4.136252164840698,169,0.937647,0.0937646,0.234412
4.161456108093262,170,0.890764,0.0468823,0.187529
4.183073043823242,171,0.843882,0.0937646,0.140647
4.204610109329224,172,0.937647,0,0.234412
4.257213830947876,174,0.843882,0,0.187529
4.32599401473999,177,0.937647,-0.0937646,0.140647
4.399739027023315,180,0.797,-0.140647,0.328176
4.429485082626343,181,0.984529,-0.234412,0.421941
4.483570098876953,183,0.797,-0.328176,0.375059
4.505158185958862,184,0.984529,-0.375059,0.375059
4.526689052581787,185,0.984529,-0.375059,0.375059
4.6574790477752686,186,0.937647,-0.421941,0.375059
4.735446929931641,189,0.984529,-0.375059,0.375059
4.766776084899902,190,0.937647,-0.328176,0.421941
4.834149122238159,193,0.750117,-0.187529,0.375059
4.909235000610352,196,0.797,-0.328176,0.328176
4.934446096420288,197,0.797,-0.375059,0.375059
5.115986108779907,204,0.890764,-0.375059,0.421941
5.139539003372192,205,0.797,-0.375059,0.375059
5.193943023681641,207,0.797,-0.515706,0.234412
5.3659961223602295,211,0.984529,-0.375059,0.328176
5.407038927078247,212,0.890764,-0.421941,0.281294
5.474219083786011,215,0.937647,-0.375059,0.234412
5.495218276977539,216,1.03141,-0.375059,0.281294
5.528141975402832,217,0.890764,-0.234412,0.375059
5.629765033721924,221,0.937647,-0.187529,0.234412
5.658707857131958,222,0.984529,-0.281294,0.234412
5.6843321323394775,223,0.984529,-0.281294,0.281294
5.70605206489563,224,1.07829,-0.375059,0.281294
5.739181041717529,225,0.937647,-0.421941,0.234412
5.760370254516602,226,0.937647,-0.375059,0.328176
5.781899929046631,227,0.890764,-0.421941,0.328176
5.803377151489258,228,0.890764,-0.328176,0.281294
5.857967138290405,230,0.937647,-0.421941,0.234412
5.879511117935181,231,0.890764,-0.375059,0.234412
5.955543041229248,234,1.03141,-0.328176,0.281294
5.97704815864563,235,0.984529,-0.328176,0.375059
6.213256120681763,245,0.984529,-0.375059,0.328176
6.237202882766724,246,0.937647,-0.375059,0.328176
6.307033061981201,249,0.890764,-0.328176,0.187529
6.381026029586792,252,0.984529,-0.281294,0.234412
6.404583930969238,253,0.937647,-0.328176,0.187529
6.426384210586548,254,1.03141,-0.421941,0.281294
6.502124071121216,257,0.890764,-0.328176,0.234412
6.547155857086182,259,0.984529,-0.328176,0.234412
6.576467037200928,260,0.984529,-0.281294,0.140647
6.599889039993286,261,0.984529,-0.328176,0.234412
6.62122917175293,262,0.937647,-0.328176,0.234412
6.677993059158325,264,0.890764,-0.328176,0.234412
6.724762201309204,266,0.984529,-0.421941,0.234412
6.7703680992126465,268,0.937647,-0.421941,0.281294
6.801152944564819,269,0.937647,-0.328176,0.281294
6.824300050735474,270,0.984529,-0.328176,0.281294
6.848066091537476,271,1.03141,-0.281294,0.328176
6.927448987960815,274,0.843882,-0.375059,0.281294
6.951297998428345,275,0.937647,-0.328176,0.328176
6.9803290367126465,276,0.937647,-0.281294,0.234412
7.035004138946533,278,0.937647,-0.328176,0.234412
7.082606077194214,280,0.937647,-0.328176,0.281294
7.156135082244873,283,0.937647,-0.375059,0.281294
7.179512977600098,284,0.937647,-0.328176,0.281294
7.210759162902832,285,1.03141,-0.328176,0.281294
7.255696058273315,287,0.937647,-0.328176,0.281294
7.276886940002441,288,0.890764,-0.281294,0.281294
7.298069953918457,289,0.937647,-0.328176,0.234412
7.331846237182617,290,0.937647,-0.281294,0.187529
7.479709148406982,296,0.937647,-0.328176,0.375059
7.499743938446045,297,0.937647,-0.281294,0.281294
7.531049966812134,298,0.890764,-0.281294,0.281294
7.552419185638428,299,0.984529,-0.281294,0.234412
7.618813991546631,302,0.937647,-0.281294,0.187529
7.650061130523682,303,0.937647,-0.328176,0.328176
7.671586036682129,304,0.984529,-0.328176,0.234412
7.74914813041687,307,0.984529,-0.281294,0.234412
7.816061973571777,310,0.937647,-0.281294,0.281294
7.913685083389282,314,0.937647,-0.328176,0.281294
7.968218088150024,316,0.937647,-0.328176,0.234412
8.013200044631958,318,0.984529,-0.328176,0.234412
8.163538217544556,324,1.03141,-0.375059,0.281294
8.185312986373901,325,0.984529,-0.328176,0.328176
8.231459140777588,327,0.937647,-0.328176,0.328176
8.329836130142212,331,0.984529,-0.375059,0.375059
8.383254051208496,333,1.03141,-0.328176,0.281294
8.403138160705566,334,1.03141,-0.234412,0.328176
8.44870400428772,336,0.984529,-0.234412,0.281294
8.470511198043823,337,1.03141,-0.234412,0.281294
8.505192041397095,338,0.984529,-0.234412,0.281294
8.548624038696289,340,0.937647,-0.281294,0.328176
8.604778051376343,342,1.03141,-0.187529,0.234412
8.648335218429565,344,1.03141,-0.281294,0.328176
8.671010971069336,345,0.937647,-0.187529,0.375059
8.700643062591553,346,0.984529,-0.281294,0.375059
8.725888013839722,347,0.937647,-0.328176,0.375059
8.747145891189575,348,0.890764,-0.328176,0.375059
8.82335114479065,351,0.890764,-0.281294,0.375059
8.846732139587402,352,0.937647,-0.281294,0.328176
8.920786142349243,355,0.984529,-0.187529,0.328176
9.083094120025635,362,0.937647,-0.234412,0.375059
9.157160997390747,365,0.843882,-0.187529,0.421941
9.258646011352539,369,0.984529,-0.187529,0.281294
9.282869100570679,370,1.03141,-0.187529,0.328176
9.334835052490234,372,0.984529,-0.0468823,0.375059
9.356281995773315,373,0.937647,-0.187529,0.375059
9.377964973449707,374,0.984529,-0.140647,0.328176
9.432468891143799,376,0.937647,-0.0937646,0.375059
9.46375298500061,377,0.937647,-0.187529,0.328176
9.485167026519775,378,0.984529,-0.187529,0.375059
9.531956911087036,380,0.843882,-0.187529,0.468823
9.563155889511108,381,0.890764,-0.187529,0.421941
9.606219053268433,383,0.984529,-0.140647,0.281294
9.660821914672852,385,1.07829,-0.0937646,0.187529
9.682354927062988,386,1.07829,-0.140647,0.234412
9.727252006530762,388,0.890764,-0.234412,0.234412
9.74874997138977,389,0.797,-0.281294,0.234412
9.779962062835693,390,0.890764,-0.328176,0.281294
9.801454067230225,391,0.890764,-0.281294,0.234412
9.822780132293701,392,0.890764,-0.328176,0.281294
10.012026071548462,399,0.937647,-0.281294,0.187529
10.033695936203003,400,0.890764,-0.375059,0.140647
10.109646081924438,403,0.984529,-0.421941,0.234412
10.193616151809692,406,1.17206,-0.281294,0.281294
10.240510940551758,408,0.890764,-0.281294,0.234412
10.314767122268677,411,1.03141,-0.281294,0.281294
10.33800220489502,412,1.03141,-0.281294,0.187529
10.361660242080688,413,1.03141,-0.234412,0.187529
10.414350986480713,415,1.03141,-0.234412,0.140647
10.466478109359741,417,0.984529,-0.234412,0.281294
10.48848009109497,418,0.984529,-0.328176,0.281294
10.51978325843811,419,1.03141,-0.328176,0.187529
10.566359996795654,421,0.984529,-0.281294,0.375059
10.587954998016357,422,0.937647,-0.328176,0.375059
10.72084093093872,427,0.984529,-0.187529,0.281294
10.767965078353882,429,0.890764,-0.328176,0.421941
10.789047002792358,430,0.890764,-0.234412,0.515706
10.842018127441406,432,0.843882,-0.328176,0.328176
10.863327026367188,433,0.890764,-0.281294,0.281294
10.98881721496582,438,0.797,-0.328176,0.375059
11.041347980499268,440,0.750117,-0.281294,0.375059
11.066175937652588,441,0.515706,-0.328176,0.328176
11.140383005142212,444,0.750117,-0.234412,0.421941
11.18541693687439,446,0.984529,-0.234412,0.375059
11.214771032333374,447,1.17206,-0.281294,0.468823
11.267369985580444,449,1.17206,-0.375059,0.468823
11.288840293884277,450,1.17206,-0.328176,0.375059
11.333830118179321,452,1.12518,-0.328176,0.468823
11.386566162109375,454,0.937647,-0.187529,0.421941
11.532872915267944,460,0.984529,-0.187529,0.468823
11.58760118484497,462,0.890764,-0.234412,0.375059
11.609085083007812,463,0.890764,-0.187529,0.375059
11.632537126541138,464,0.890764,-0.234412,0.328176
11.653885841369629,465,0.937647,-0.234412,0.375059
11.685447216033936,466,0.937647,-0.187529,0.328176
11.78476595878601,470,0.890764,-0.234412,0.328176
11.808386087417603,471,0.937647,-0.234412,0.375059
11.851146936416626,473,0.937647,-0.281294,0.421941
11.905810832977295,475,0.937647,-0.281294,0.375059
11.972095012664795,478,0.890764,-0.187529,0.375059
12.122308015823364,484,0.984529,-0.281294,0.421941
12.16527509689331,486,0.937647,-0.328176,0.421941
12.200350999832153,487,0.937647,-0.187529,0.421941
12.221796035766602,488,0.937647,-0.328176,0.421941
12.24152398109436,489,0.890764,-0.375059,0.421941
12.288263082504272,491,0.937647,-0.328176,0.328176
12.317461013793945,492,0.937647,-0.328176,0.328176
12.384028196334839,495,0.890764,-0.375059,0.421941
12.407256126403809,496,0.937647,-0.281294,0.375059
12.571433067321777,503,0.890764,-0.328176,0.328176
12.61715817451477,505,0.937647,-0.375059,0.328176
12.64991307258606,506,0.937647,-0.281294,0.375059
12.694978952407837,508,0.890764,-0.328176,0.375059
12.770467042922974,511,0.937647,-0.281294,0.375059
12.79227900505066,512,0.890764,-0.281294,0.375059
12.848582029342651,514,0.937647,-0.281294,0.328176
12.87128210067749,515,0.937647,-0.234412,0.375059
12.892772197723389,516,0.984529,-0.234412,0.375059
12.914833068847656,517,0.937647,-0.281294,0.375059
12.936306953430176,518,0.937647,-0.281294,0.328176
13.015063047409058,521,0.937647,-0.281294,0.375059
13.038055896759033,522,0.984529,-0.281294,0.375059
13.116044044494629,525,0.937647,-0.328176,0.421941
13.137315034866333,526,0.937647,-0.281294,0.375059
13.17068600654602,527,0.937647,-0.281294,0.375059
13.21744418144226,529,0.937647,-0.328176,0.375059
13.23992395401001,530,0.890764,-0.328176,0.328176
13.2624990940094,531,0.890764,-0.328176,0.421941
13.328930139541626,534,0.937647,-0.328176,0.375059
13.350352048873901,535,0.843882,-0.328176,0.375059
13.38155221939087,536,0.937647,-0.234412,0.421941
13.42645812034607,538,0.937647,-0.281294,0.421941
13.447998046875,539,0.890764,-0.375059,0.515706
13.547559976577759,543,0.984529,-0.421941,0.656353
13.600284099578857,545,1.03141,-0.375059,0.703235
13.746715068817139,551,0.890764,-0.0937646,0.750117
13.791597127914429,553,0.797,-0.0468823,0.890764
13.867995023727417,556,0.562588,0.0937646,0.843882
13.922285079956055,558,0.328176,0.0937646,0.890764
