time,index,x,y,z
9.5367431640625e-07,1,-0.375059,0.0468823,0.984529
0.11978387832641602,2,-0.515706,0.0468823,0.890764
0.1665968894958496,4,-0.375059,0.0937646,1.03141
0.18811988830566406,5,-0.421941,0.187529,0.937647
0.2212998867034912,6,-0.375059,0.140647,0.890764
0.32468581199645996,10,-0.468823,0.140647,0.750117
0.37152576446533203,12,-0.375059,0.187529,0.60947
0.39497876167297363,13,-0.375059,0.0937646,0.421941
0.4515879154205322,15,-0.0937646,0.0937646,0.562588
0.47501087188720703,16,-0.0937646,0.140647,0.562588
0.5257518291473389,18,0.140647,0.140647,0.656353
0.5804717540740967,20,0.140647,0.328176,0.703235
0.6605429649353027,23,0.140647,0.843882,0.937647
0.6839418411254883,24,0.187529,0.937647,0.937647
0.7053377628326416,25,0.140647,1.17206,0.750117
0.7308380603790283,26,0.140647,1.21894,0.60947
0.8127408027648926,29,-0.140647,1.26582,0.703235
0.836688756942749,30,-0.140647,1.07829,0.515706
0.8672618865966797,31,-0.0937646,1.07829,0.187529
0.9143288135528564,33,0.328176,1.07829,0.140647
1.019685983657837,37,0.515706,0.937647,0.375059
1.0431098937988281,38,0.515706,0.937647,0.375059
1.103646993637085,40,0.281294,1.03141,0.375059
1.1798207759857178,42,0.187529,0.843882,0.281294
1.2012338638305664,43,0.234412,0.890764,0.281294
1.2264950275421143,44,0.187529,0.890764,0.281294
1.2812747955322266,46,0.140647,0.984529,0.281294
1.3046729564666748,47,0.281294,0.937647,0.328176
1.328204870223999,48,0.140647,1.03141,0.375059
1.3749780654907227,50,-0.281294,1.17206,0.421941
1.5155839920043945,55,0.0937646,0.984529,0.140647
1.5390748977661133,56,0.140647,0.890764,0.140647
1.5622498989105225,57,0.281294,0.890764,0.234412
1.587785005569458,58,0.281294,0.937647,0.234412
1.6678798198699951,61,0.140647,0.937647,0.187529
1.7713820934295654,65,-0.187529,0.937647,0.281294
1.7967188358306885,66,-0.421941,1.03141,0.140647
1.8298158645629883,67,-0.140647,1.03141,0.234412
1.8806867599487305,69,0.0937646,1.17206,0.468823
1.982759952545166,73,0.0468823,0.797,0.234412
2.0409529209136963,75,0.140647,0.562588,0.234412
2.0665910243988037,76,0.140647,0.60947,0.187529
2.0926289558410645,77,0.187529,0.703235,0.187529
2.115602970123291,78,0.234412,0.656353,0.187529
2.1968348026275635,81,0.421941,1.45335,0.234412
2.2534420490264893,83,0.187529,0.937647,0.187529
2.278965950012207,84,0.0937646,0.656353,0.187529
2.4119770526885986,89,-0.0468823,1.21894,0.187529
2.4331090450286865,90,-0.187529,0.984529,0.0468823
2.4739668369293213,91,-0.140647,0.843882,0
2.497407913208008,92,-0.234412,0.843882,-0.0468823
2.5267558097839355,93,0.140647,0.797,0.140647
2.561774730682373,94,0.140647,0.656353,0.140647
2.5833537578582764,95,0.187529,0.60947,0.0937646
2.6087658405303955,96,0.140647,0.60947,0.140647
2.727674961090088,100,0.140647,1.45335,0.234412
2.839097738265991,102,0.0937646,1.35959,0.421941
2.8625118732452393,103,0.0468823,1.26582,0.328176
